Plate,PCRIndex,MultiplexGroup,RandomIndex,Col384,Row384,Plate.1,PCRIndex.1,MultiplexGroup.1,RandomIndex.1,Col384.1,Row384.1,R1InputReads,R1WithR1Adapter,R1WithTSO,R1WithN6,R1WithTSO_rc,R1WithN6_rc,R1With3PpolyT,R1With5PpolyT,R1With3PpolyA,R1With5PpolyA,R1WithpolyTLong,R1WithpolyALong,R1WithISPCR_F,R1WithISPCR_R,R1QualTrimBP,R1TrimmedReads,R1TrimmedReadsBP,R1TrimmedReadsRate,R1UniqueMappedReads,R1MappingRate,R1UnmappedReads,R1UnuniqueMappedReads,R1OT,R1OB,R1CTOT,R1CTOB,R1TotalC,R1TotalmCGRate,R1TotalmCHGRate,R1TotalmCHHRate,R1MAPQFilteredReads,R1DuplicatedReads,R1DuplicationRate,R1FinalBismarkReads,R2InputReads,R2WithR1Adapter,R2WithTSO,R2WithN6,R2WithTSO_rc,R2WithN6_rc,R2With3PpolyT,R2With5PpolyT,R2With3PpolyA,R2With5PpolyA,R2WithpolyTLong,R2WithpolyALong,R2WithISPCR_F,R2WithISPCR_R,R2QualTrimBP,R2TrimmedReads,R2TrimmedReadsBP,R2TrimmedReadsRate,R2UniqueMappedReads,R2MappingRate,R2UnmappedReads,R2UnuniqueMappedReads,R2OT,R2OB,R2CTOT,R2CTOB,R2TotalC,R2TotalmCGRate,R2TotalmCHGRate,R2TotalmCHHRate,R2MAPQFilteredReads,R2DuplicatedReads,R2DuplicationRate,R2FinalBismarkReads,mCHmC,mCHCov,mCHFrac,mCGmC,mCGCov,mCGFrac,mCCCmC,mCCCCov,mCCCFrac,GenomeCov,LambdaCYFrac,LambdaCYCov,FinalDNAReads,SelectedDNAReadsRatio,FinalCountedReads,FinalRNAReads,RNAUniqueMappedReads,SelectedRNAReadsRatio,CellInputReadPairs,CellBarcodeRatio,GenesDetected,DNAReadsYield,RNAReadsYield,RNA/(DNA+RNA),Dnmt3a_g1,Dnmt3a_g2,Foxg1_g1,Foxg1_g2,Safe_g1,Safe_g2,Total_grna
S_10,A1,1,A1,0,0,S_10,A1,1,A1,0,0,157489.0,97614.0,22601.0,15895.0,10123.0,675.0,343.0,969.0,354.0,212.0,94.0,68.0,953.0,745.0,38984.0,79509.0,6074236.0,0.5048543072849533,9168,11.5,69868,473,0,0,4698,4470,164332,96.3,97.8,97.8,7592,1349,0.177687,6243,157489.0,93093.0,11524.0,1275.0,18811.0,17376.0,399.0,2.0,493.0,65.0,65.0,56.0,774.0,1152.0,289514.0,110709.0,8281869.0,0.7029633815695064,7374,6.7,102961,374,3797,3577,0,0,132765,95.7,97.6,97.5,4808,782,0.162646,4026,21,167,0.1257485029940119,11.0,23.0,0.4782608695652174,2.0,17.0,0.1176470588235294,2.72435588485903e-07,0,0,8.0,0.0007790437238289,8897,10144,10808,0.9385640266469282,157489,0.0012828367859746,1633,2.5398599267250413e-05,0.064410847741747,1.624599615631006,0,0,0,0,0,0,0
S_10,A1,1,A13,12,0,S_10,A1,1,A13,12,0,149171.0,64736.0,2298.0,744.0,1628.0,667.0,2419.0,4016.0,2517.0,2957.0,16971.0,9412.0,179.0,1084.0,86330.0,104316.0,10138548.0,0.6993048246643114,70899,68.0,28143,5274,0,0,34474,36425,1112815,96.3,98.1,97.7,56847,11112,0.195472,45735,149171.0,64902.0,2050.0,7.0,1482.0,1247.0,2070.0,2.0,3703.0,212.0,15169.0,10809.0,10.0,1043.0,128414.0,112676.0,11519204.0,0.7553478893350585,61436,54.5,45845,5395,29370,32066,0,0,970666,95.4,97.6,97.4,40209,6602,0.164192,33607,481,1711,0.2811221507890122,5.0,41.0,0.1219512195121951,38.0,138.0,0.2753623188405797,2.574589546565032e-06,0,0,103.0,0.0012981775100199,67991,79858,87159,0.9162335501784096,149171,0.0012150819816027,3526,0.0003452413672898,0.535345341923028,1.7460643694245233,0,0,0,0,0,0,0
S_10,A1,1,A14,13,0,S_10,A1,1,A14,13,0,220693.0,81596.0,3242.0,1068.0,2224.0,1044.0,3219.0,7576.0,3257.0,2818.0,43543.0,14039.0,267.0,1579.0,133959.0,141905.0,13903786.0,0.6429972858223868,95888,67.6,39849,6168,0,0,47321,48567,1593361,96.5,98.0,97.7,77117,15183,0.196883,61934,220693.0,82113.0,2910.0,4.0,2353.0,2455.0,3043.0,3.0,6149.0,340.0,22659.0,25265.0,5.0,1733.0,177284.0,167940.0,17361197.0,0.760966591600096,88228,52.5,72678,7034,42984,45244,0,0,1478940,96.1,97.6,97.3,57640,9997,0.173439,47643,597,2173,0.2747353888633226,16.0,46.0,0.3478260869565217,41.0,206.0,0.1990291262135922,2.783676537190637e-06,0,0,115.0,0.0010494903127481,95048,109880,118664,0.9259758646261714,220693,0.0017976690359778,3887,0.0002605429261462,0.4978862039122219,1.7741180269637524,0,0,0,0,0,0,0
S_10,A1,1,A2,1,0,S_10,A1,1,A2,1,0,191069.0,124150.0,27213.0,18006.0,14681.0,546.0,149.0,414.0,173.0,174.0,39.0,36.0,1064.0,685.0,42055.0,85617.0,5865127.0,0.4480946673714731,3994,4.7,81445,178,0,0,1923,2071,73655,96.4,98.0,97.7,3249,550,0.169283,2699,191069.0,116415.0,17114.0,1331.0,22513.0,20239.0,254.0,2.0,399.0,76.0,44.0,28.0,1046.0,1372.0,357704.0,121923.0,8566548.0,0.6381097927973663,2958,2.4,118790,175,1401,1557,0,0,55699,96.4,97.2,97.3,1906,306,0.160546,1600,16,136,0.1176470588235294,5.0,7.0,0.7142857142857143,1.0,3.0,0.3333333333333333,3.727680498368941e-07,0,0,8.0,0.0018608978832286,3996,4520,4783,0.9450135897971984,191069,0.0015563648372864,924,2.0934845527008566e-05,0.0236563754455196,1.674074074074074,0,0,0,0,0,0,0
S_10,A1,1,B1,0,1,S_10,A1,1,B1,0,1,147158.0,91162.0,33396.0,9927.0,8722.0,379.0,64.0,73.0,94.0,105.0,26.0,27.0,962.0,524.0,27308.0,62238.0,4348729.0,0.4229331738675437,1155,1.9,60960,123,0,0,509,646,20928,95.1,97.2,97.3,934,174,0.186296,760,147158.0,86949.0,9800.0,735.0,30912.0,10883.0,181.0,0.0,140.0,50.0,39.0,20.0,656.0,1140.0,222713.0,96133.0,6550038.0,0.6532638388670681,960,1.0,95074,99,414,546,0,0,17667,94.0,96.9,96.5,604,122,0.201987,482,3,11,0.2727272727272727,0.0,2.0,0.0,0.0,1.0,0.0,2.2702965707158585e-08,0,0,1.0,0.000805152979066,1131,1296,1390,0.9323741007194244,147158,0.0011986849605398,365,3.3977085853300534e-06,0.0088068606531754,1.7030223390275954,0,0,0,0,0,0,0
S_10,A1,1,B13,12,1,S_10,A1,1,B13,12,1,447839.0,166003.0,6624.0,1905.0,4436.0,2068.0,6544.0,25338.0,7402.0,7289.0,68254.0,36915.0,519.0,3082.0,313721.0,307219.0,30083754.0,0.6860032288389354,210140,68.4,82222,14857,0,0,103983,106157,3558200,96.7,98.1,97.7,169469,38071,0.224649,131398,447839.0,163742.0,6150.0,18.0,4736.0,4792.0,6613.0,6.0,12521.0,619.0,57164.0,41311.0,31.0,3550.0,414180.0,340357.0,35383403.0,0.759998570914994,184808,54.3,140478,15071,90403,94405,0,0,3178120,96.0,97.6,97.4,122544,23697,0.193375,98847,1200,4921,0.2438528754318228,39.0,112.0,0.3482142857142857,91.0,472.0,0.1927966101694915,7.105295912608147e-06,0,0,327.0,0.0014202262807009,205392,240727,257198,0.9359598441667508,447839,0.0036479013987905,5012,0.0003650865601254,0.5375302284972948,1.832030685165032,0,0,0,0,0,0,0
S_10,A1,1,B14,13,1,S_10,A1,1,B14,13,1,284855.0,96138.0,3460.0,1145.0,2311.0,990.0,3164.0,23598.0,3248.0,2001.0,77509.0,14770.0,288.0,1493.0,254252.0,167736.0,16218392.0,0.5888469572238507,106987,63.8,52532,8217,0,0,51852,55135,1787561,96.6,98.1,97.8,85176,18783,0.22052,66393,284855.0,94876.0,4913.0,13.0,3104.0,3283.0,3774.0,3.0,9789.0,412.0,23116.0,46369.0,23.0,2246.0,221124.0,221790.0,23006758.0,0.778606659528532,110612,49.9,101465,9713,53114,57498,0,0,1928301,96.1,97.7,97.5,71861,14007,0.194918,57854,373,1741,0.2142446869615163,13.0,61.0,0.2131147540983606,38.0,205.0,0.1853658536585365,2.547126281596695e-06,0,0,118.0,0.000949721120027,110018,126684,136036,0.9312534917227792,284855,0.0023203047366407,3335,0.0002071229221884,0.4447315300767057,1.908063981685092,0,0,0,0,0,0,0
S_10,A1,1,B2,1,1,S_10,A1,1,B2,1,1,299699.0,207283.0,43641.0,14964.0,17070.0,3462.0,187.0,545.0,620.0,192.0,38.0,37.0,3105.0,1117.0,328864.0,140332.0,9172399.0,0.468243137281072,3076,2.2,136368,888,0,0,1597,1479,52176,89.6,96.2,94.2,2308,412,0.17851,1896,299699.0,199093.0,18011.0,4104.0,36214.0,15300.0,422.0,2.0,1022.0,110.0,44.0,46.0,1825.0,2311.0,1123001.0,180599.0,12390252.0,0.6026012766142029,2289,1.3,178024,286,1186,1103,0,0,41738,93.6,96.5,96.0,1478,272,0.184032,1206,70,337,0.2077151335311572,5.0,9.0,0.5555555555555556,6.0,23.0,0.2608695652173913,5.485329456342509e-07,0,0,19.0,0.0061250805931656,2685,3154,3363,0.9378531073446328,299699,0.0024412174940461,692,3.169847079903503e-05,0.0105238923052796,1.6626251976805482,0,0,0,0,0,0,0
S_10,A1,1,C1,0,2,S_10,A1,1,C1,0,2,147420.0,91379.0,28656.0,14365.0,7387.0,617.0,112.0,269.0,150.0,119.0,47.0,38.0,941.0,454.0,39618.0,58586.0,4016998.0,0.3974087640754307,2799,4.8,55604,183,0,0,1414,1385,48217,96.4,97.9,97.7,2283,378,0.165572,1905,147420.0,87720.0,8701.0,1093.0,24567.0,15181.0,192.0,4.0,306.0,61.0,48.0,42.0,650.0,1137.0,293758.0,91964.0,6343949.0,0.6238230904897571,2174,2.4,89621,169,1109,1065,0,0,38564,96.1,97.5,97.0,1470,231,0.157143,1239,2,45,0.0444444444444444,1.0,1.0,1.0,0.0,2.0,0.0,1.0326187628094709e-07,0,0,3.0,0.0009541984732824,2882,3194,3418,0.9344645991808076,147420,0.0012008190984029,777,1.0175010175010176e-05,0.0216659883326549,1.6757607555089191,0,0,0,0,0,0,0
S_10,A1,1,C13,12,2,S_10,A1,1,C13,12,2,212419.0,84384.0,3029.0,902.0,2283.0,1026.0,3093.0,10901.0,3442.0,2803.0,27428.0,17061.0,228.0,1514.0,138477.0,147436.0,14421999.0,0.6940810379485828,96392,65.4,44094,6950,0,0,46988,49404,1596961,96.8,98.1,97.7,77406,16109,0.20811,61297,212419.0,83662.0,2956.0,9.0,2447.0,1934.0,2927.0,3.0,5418.0,260.0,26587.0,15918.0,6.0,1868.0,191578.0,158934.0,16508738.0,0.7482099058935406,79188,49.8,73282,6464,38062,41126,0,0,1340304,96.0,97.6,97.4,51648,9069,0.175592,42579,612,2511,0.2437275985663082,24.0,55.0,0.4363636363636363,61.0,268.0,0.2276119402985074,3.319759469372576e-06,0,0,147.0,0.0014151488312988,96913,113581,122410,0.927873539743485,212419,0.0017302726364378,4136,0.00034601424543,0.5347026395943866,1.852931580149434,0,0,0,0,0,0,0
