,Plate,PCRIndex,MultiplexGroup,RandomIndex,Col384,Row384,Plate.1,PCRIndex.1,MultiplexGroup.1,RandomIndex.1,Col384.1,Row384.1,R1InputReads,R1WithR1Adapter,R1WithTSO,R1WithN6,R1WithTSO_rc,R1WithN6_rc,R1With3PpolyT,R1With5PpolyT,R1With3PpolyA,R1With5PpolyA,R1WithpolyTLong,R1WithpolyALong,R1WithISPCR_F,R1WithISPCR_R,R1QualTrimBP,R1TrimmedReads,R1TrimmedReadsBP,R1TrimmedReadsRate,R1UniqueMappedReads,R1MappingRate,R1UnmappedReads,R1UnuniqueMappedReads,R1OT,R1OB,R1CTOT,R1CTOB,R1TotalC,R1TotalmCGRate,R1TotalmCHGRate,R1TotalmCHHRate,R1MAPQFilteredReads,R1DuplicatedReads,R1DuplicationRate,R1FinalBismarkReads,R2InputReads,R2WithR1Adapter,R2WithTSO,R2WithN6,R2WithTSO_rc,R2WithN6_rc,R2With3PpolyT,R2With5PpolyT,R2With3PpolyA,R2With5PpolyA,R2WithpolyTLong,R2WithpolyALong,R2WithISPCR_F,R2WithISPCR_R,R2QualTrimBP,R2TrimmedReads,R2TrimmedReadsBP,R2TrimmedReadsRate,R2UniqueMappedReads,R2MappingRate,R2UnmappedReads,R2UnuniqueMappedReads,R2OT,R2OB,R2CTOT,R2CTOB,R2TotalC,R2TotalmCGRate,R2TotalmCHGRate,R2TotalmCHHRate,R2MAPQFilteredReads,R2DuplicatedReads,R2DuplicationRate,R2FinalBismarkReads,mCHmC,mCHCov,mCHFrac,mCGmC,mCGCov,mCGFrac,mCCCmC,mCCCCov,mCCCFrac,GenomeCov,LambdaCYFrac,LambdaCYCov,FinalDNAReads,SelectedDNAReadsRatio,FinalCountedReads,FinalRNAReads,RNAUniqueMappedReads,SelectedRNAReadsRatio,CellInputReadPairs,CellBarcodeRatio,GenesDetected,DNAReadsYield,RNAReadsYield,RNA/(DNA+RNA),Safe_g1,Safe_g2,Dnmt3a_g1,Foxg1_g1,Total_grna,Dnmt3a_total,Foxg1_total,Safe_total,assign_ident
0,R,A1,3,A17,16,0,R,A1,3,A17,16,0,183422.0,22962.0,1615.0,225.0,4233.0,586.0,5278.0,6008.0,18428.0,10015.0,5851.0,7969.0,28.0,4267.0,86779.0,165860.0,19053989.0,0.9042535791780704,102195,61.6,52845,10820,0,0,51411,50784,2359802,74.4,19.5,20.3,90555,31391,0.346651,59164,183422.0,26061.0,3044.0,61.0,1194.0,3383.0,19191.0,5.0,5186.0,456.0,10897.0,3511.0,6.0,767.0,166063.0,166120.0,20314552.0,0.9056710754435128,94853,57.1,62176,9091,47577,47276,0,0,2353831,73.9,19.7,20.0,77023,27497,0.356997,49526,9906,1991782,0.004973435847899,57312.0,84399.0,0.6790601784381332,489.0,130185.0,0.0037561931098052,0.0033221414498874,0.0,0.0,82420,0.7583034317784525,22547,26213,27439,0.9553190713947302,183422,0.0031823052571258,2350,0.2246731580726412,0.1429108831001733,0.4430490999746472,,,,,,,,,
1,R,A1,3,A18,17,0,R,A1,3,A18,17,0,212437.0,29882.0,1339.0,428.0,4379.0,612.0,5471.0,7730.0,20419.0,11046.0,17694.0,10682.0,23.0,4593.0,121443.0,176732.0,20099440.0,0.8319266417808574,108674,61.5,55120,12938,0,0,54255,54419,2533329,78.3,14.2,15.0,95880,33259,0.346882,62621,212437.0,34112.0,3359.0,344.0,1221.0,3757.0,21641.0,2.0,5907.0,496.0,13333.0,9420.0,13.0,1033.0,224549.0,184810.0,22245828.0,0.8699520328379707,106272,57.5,67352,11186,52783,53489,0,0,2641147,78.2,18.1,18.4,85995,30463,0.354242,55532,18409,2289132,0.0080419128298411,70865.0,95884.0,0.7390701264027366,594.0,148626.0,0.0039966089378708,0.0038226557921667,0.0,0.0,95439,0.807757737848383,17640,20545,22027,0.932718935851455,212437,0.0036857049967182,2290,0.2246289488177671,0.096711024915622,0.3280795886429689,,,,,,,,,
2,R,A1,3,A5,4,0,R,A1,3,A5,4,0,191253.0,56266.0,12605.0,10924.0,5065.0,687.0,3426.0,5184.0,14284.0,5976.0,213.0,2832.0,938.0,3513.0,84543.0,151502.0,16058884.0,0.7921548943023116,60638,40.0,82028,8836,0,0,30465,30173,1478926,81.1,4.5,5.2,54373,19476,0.358192,34897,191253.0,58414.0,3875.0,1119.0,10274.0,13812.0,14894.0,1.0,3673.0,354.0,3036.0,211.0,250.0,1277.0,282383.0,169588.0,18147671.0,0.886720731178073,57771,34.1,104373,7444,29070,28701,0,0,1499732,80.3,4.3,4.9,47948,17783,0.370881,30165,43661,1538304,0.0283825563737726,53830.0,67257.0,0.800362787516541,640.0,101385.0,0.0063125708931301,0.0025714979152833,0.0,0.0,63198,0.9713504042298116,1665,1949,2604,0.7484639016897081,191253,0.0033181702704206,447,0.165220937710781,0.0101906898192446,0.0558484726918448,,,,,,,,,
3,R,A1,3,A6,5,0,R,A1,3,A6,5,0,192878.0,41326.0,7911.0,2790.0,4540.0,531.0,4662.0,6811.0,19256.0,9020.0,401.0,3803.0,506.0,4151.0,88048.0,170723.0,18907825.0,0.8851346446976845,91194,53.4,68241,11288,0,0,45774,45420,2190541,80.8,8.3,9.1,80717,28382,0.351624,52335,192878.0,44122.0,3610.0,450.0,7250.0,6408.0,20178.0,1.0,4805.0,378.0,3716.0,446.0,86.0,1011.0,188493.0,177613.0,20536223.0,0.9208567073486869,85689,48.2,82699,9225,42923,42766,0,0,2198622,80.1,8.0,8.5,70086,25800,0.368119,44286,56504,2160865,0.0261487876382837,71688.0,90715.0,0.7902551948409855,896.0,142077.0,0.0063064394659234,0.0036230597397373,0.0,0.0,89218,0.9233810455284048,6845,7883,8954,0.8803886531159258,192878,0.0033463634317798,1289,0.231280913323448,0.0408703947573077,0.1506228981962702,,,,,,,,,
4,R,A1,3,B17,16,1,R,A1,3,B17,16,1,185467.0,18891.0,1257.0,158.0,4376.0,459.0,4938.0,9806.0,20142.0,9214.0,8703.0,8722.0,24.0,4287.0,111221.0,166321.0,19166091.0,0.8967686973963023,105536,63.5,49058,11727,0,0,52609,52927,2475368,76.4,15.0,15.6,93144,33121,0.355589,60023,185467.0,22195.0,4053.0,35.0,1005.0,3700.0,20491.0,1.0,5421.0,445.0,11020.0,5932.0,5.0,605.0,176203.0,168160.0,20651555.0,0.9066842079723078,98415,58.5,59544,10201,49089,49326,0,0,2459419,75.8,16.5,16.7,79877,29135,0.364748,50742,17950,2161321,0.0083051059976745,65859.0,91705.0,0.7181614961016303,551.0,141845.0,0.0038845218372166,0.0036372597124334,0.0,0.0,89473,0.8077732135602401,18193,20777,22122,0.9392007955881024,185467,0.003217785266344,2337,0.2412100265815482,0.1120253198682245,0.34614487538318,,,,,,,,,
5,R,A1,3,B18,17,1,R,A1,3,B18,17,1,217530.0,25918.0,1728.0,204.0,5006.0,691.0,6046.0,10172.0,20977.0,13001.0,11976.0,10081.0,24.0,4551.0,104538.0,190734.0,21946536.0,0.8768169907598952,120073,63.0,58349,12312,0,0,60601,59472,2775493,82.2,22.1,23.0,105909,36550,0.345108,69359,217530.0,29624.0,3621.0,42.0,1346.0,4065.0,22063.0,0.0,6247.0,537.0,13965.0,6583.0,8.0,970.0,182611.0,194176.0,23769995.0,0.892640095618995,113118,58.3,70480,10578,56768,56350,0,0,2805879,81.9,23.5,24.3,91422,32444,0.354882,58978,72825,2306815,0.031569501672219,77076.0,98257.0,0.7844326612862188,1032.0,152197.0,0.006780685558848,0.0038453389843231,0.0,0.0,95253,0.7422099628322307,27094,31745,33415,0.9500224450097262,217530,0.0037740667018274,2954,0.2189422148669149,0.145933894175516,0.4576845444059977,,,,,,,,,
6,R,A1,3,B5,4,1,R,A1,3,B5,4,1,395694.0,39041.0,5196.0,3744.0,9520.0,956.0,13273.0,20046.0,50536.0,15520.0,689.0,9654.0,349.0,10457.0,199159.0,376019.0,43500594.0,0.950277234428624,244038,64.9,96054,35927,0,0,121938,122100,5894806,78.6,4.7,4.7,216072,77885,0.360459,138187,395694.0,47786.0,7540.0,472.0,4067.0,12106.0,52245.0,3.0,12712.0,1027.0,9689.0,640.0,108.0,1170.0,395732.0,381551.0,46705734.0,0.964257734512022,228447,59.9,122659,30445,114612,113835,0,0,5903039,78.3,4.8,4.9,187889,69520,0.370006,118369,139356,5975484,0.023321290794185,191615.0,249622.0,0.7676206424113259,3591.0,388251.0,0.0092491712835253,0.0100656341127415,0.0,0.0,248117,0.9671065966104866,4014,6715,9290,0.7228202368137783,395694,0.0068651475636137,1466,0.3135213068684387,0.0169701840310947,0.0485932208295944,,,,,,,,,
7,R,A1,3,B6,5,1,R,A1,3,B6,5,1,198785.0,45229.0,7630.0,5547.0,5831.0,540.0,4702.0,6156.0,19237.0,3998.0,222.0,3284.0,595.0,4448.0,88133.0,169405.0,18744186.0,0.8522021279271574,83330,49.2,74934,11141,0,0,41557,41773,2023327,77.2,5.4,6.0,74637,27035,0.36222,47602,198785.0,47671.0,3969.0,580.0,6303.0,9065.0,19758.0,1.0,4382.0,474.0,3365.0,207.0,135.0,947.0,232252.0,179782.0,20604967.0,0.9044042558543148,77885,43.3,92377,9520,38935,38950,0,0,2009398,76.9,5.3,5.8,64519,24302,0.376664,40217,54609,2035458,0.0268288512953841,65914.0,87094.0,0.7568144763129492,834.0,133206.0,0.0062609792351695,0.0034240166143759,0.0,0.0,84027,0.9568202780719436,3341,3794,4725,0.802962962962963,198785,0.0034488477420253,918,0.2113514601202304,0.0190859471288075,0.0797008591895468,,,,,,,,,
8,R,A1,3,C17,16,2,R,A1,3,C17,16,2,154245.0,19865.0,1209.0,84.0,3601.0,533.0,4163.0,7925.0,15206.0,6058.0,6972.0,5386.0,10.0,3595.0,79969.0,140428.0,16113882.0,0.9104217316606698,77008,54.8,54822,8598,0,0,38485,38523,1790042,82.0,16.5,16.9,67713,24256,0.358218,43457,154245.0,22579.0,2882.0,27.0,908.0,2647.0,15682.0,2.0,4601.0,421.0,7149.0,3996.0,7.0,691.0,138249.0,142715.0,17455309.0,0.9252487925054296,72816,51.0,62466,7433,36042,36774,0,0,1816155,81.2,18.5,19.0,58899,21564,0.366118,37335,36706,1557873,0.0235616125319586,52043.0,66020.0,0.7882914268403514,653.0,101579.0,0.0064284940785004,0.0026325143326825,0.0,0.0,64410,0.7972323992474503,13380,15576,16785,0.9279714030384272,154245,0.0026760948762164,1975,0.2087912087912088,0.1009822036370708,0.3584150213999724,,,,,,,,,
9,R,A1,3,C18,17,2,R,A1,3,C18,17,2,138011.0,19529.0,1139.0,115.0,3239.0,476.0,3936.0,4312.0,13878.0,6700.0,4008.0,5417.0,13.0,3028.0,81372.0,124394.0,14227411.0,0.9013339516415358,80238,64.5,34916,9240,0,0,40278,39960,1848732,81.3,21.7,23.0,70363,24255,0.344712,46108,138011.0,22346.0,2213.0,24.0,783.0,2479.0,14189.0,1.0,4188.0,354.0,7926.0,2366.0,3.0,554.0,121626.0,123956.0,15047486.0,0.8981602915709618,73293,59.1,42691,7972,36499,36794,0,0,1807858,81.1,22.0,23.1,58530,20649,0.352793,37881,37840,1508286,0.0250880801121272,50325.0,64969.0,0.7746001939386477,571.0,98219.0,0.0058135391319398,0.0025233848382968,0.0,0.0,62486,0.7439783781209444,18743,21812,22980,0.9491731940818102,138011,0.0023944408568285,2505,0.2263805059017035,0.1580453731948902,0.4730529831486261,,,,,,,,,
