,Plate,PCRIndex,MultiplexGroup,RandomIndex,Col384,Row384,Plate.1,PCRIndex.1,MultiplexGroup.1,RandomIndex.1,Col384.1,Row384.1,R1InputReads,R1WithR1Adapter,R1WithTSO,R1WithN6,R1WithTSO_rc,R1WithN6_rc,R1With3PpolyT,R1With5PpolyT,R1With3PpolyA,R1With5PpolyA,R1WithpolyTLong,R1WithpolyALong,R1WithISPCR_F,R1WithISPCR_R,R1QualTrimBP,R1TrimmedReads,R1TrimmedReadsBP,R1TrimmedReadsRate,R1UniqueMappedReads,R1MappingRate,R1UnmappedReads,R1UnuniqueMappedReads,R1OT,R1OB,R1CTOT,R1CTOB,R1TotalC,R1TotalmCGRate,R1TotalmCHGRate,R1TotalmCHHRate,R1MAPQFilteredReads,R1DuplicatedReads,R1DuplicationRate,R1FinalBismarkReads,R2InputReads,R2WithR1Adapter,R2WithTSO,R2WithN6,R2WithTSO_rc,R2WithN6_rc,R2With3PpolyT,R2With5PpolyT,R2With3PpolyA,R2With5PpolyA,R2WithpolyTLong,R2WithpolyALong,R2WithISPCR_F,R2WithISPCR_R,R2QualTrimBP,R2TrimmedReads,R2TrimmedReadsBP,R2TrimmedReadsRate,R2UniqueMappedReads,R2MappingRate,R2UnmappedReads,R2UnuniqueMappedReads,R2OT,R2OB,R2CTOT,R2CTOB,R2TotalC,R2TotalmCGRate,R2TotalmCHGRate,R2TotalmCHHRate,R2MAPQFilteredReads,R2DuplicatedReads,R2DuplicationRate,R2FinalBismarkReads,mCHmC,mCHCov,mCHFrac,mCGmC,mCGCov,mCGFrac,mCCCmC,mCCCCov,mCCCFrac,GenomeCov,LambdaCYFrac,LambdaCYCov,FinalDNAReads,SelectedDNAReadsRatio,FinalCountedReads,FinalRNAReads,RNAUniqueMappedReads,SelectedRNAReadsRatio,CellInputReadPairs,CellBarcodeRatio,GenesDetected,DNAReadsYield,RNAReadsYield,RNA/(DNA+RNA),Safe_g1,Safe_g2,Dnmt3a_g1,Foxg1_g1,Total_grna,Dnmt3a_total,Foxg1_total,Safe_total,assign_ident
0,S_5,A1,4,A19,18,0,S_5,A1,4,A19,18,0,263977.0,73353.0,5150.0,1125.0,3545.0,1366.0,3688.0,29154.0,4080.0,2940.0,58054.0,8964.0,95.0,2026.0,257239.0,167783.0,17375047.0,0.6355970406512689,106838,63.7,57023,3922,0,0,50729,56109,1945812,96.7,98.0,97.7,88199,27087,0.307112,61112,263977.0,73310.0,5014.0,35.0,4429.0,3361.0,4928.0,11.0,7269.0,426.0,18500.0,35692.0,14.0,2510.0,322528.0,192203.0,21336814.0,0.728105100065536,110289,57.4,77525,4389,50682,59607,0,0,2264473,96.5,97.8,97.5,80448,24618,0.306011,55830,265.0,2411.0,0.1099128992119452,42.0,75.0,0.56,26.0,164.0,0.1585365853658536,4.110701500460681e-06,0,0,141.0,0.001205725915411,100197,116243,120292,0.9663402387523692,263977,0.0020600503462423,3597,0.0002670687218962,0.4403527580054323,1.9020993896552287,,,,,,,,,
1,S_5,A1,4,A20,19,0,S_5,A1,4,A20,19,0,283110.0,56662.0,4954.0,740.0,4122.0,1833.0,4950.0,18542.0,5725.0,973.0,75486.0,9610.0,93.0,2779.0,182950.0,183347.0,19881691.0,0.6476175338207764,127442,69.5,49177,6728,0,0,62317,65125,2399918,96.7,98.1,97.7,106123,33350,0.314258,72773,283110.0,57368.0,5573.0,59.0,4470.0,3541.0,6312.0,7.0,8693.0,1629.0,23481.0,35602.0,16.0,3127.0,321564.0,221884.0,25502003.0,0.7837377697714669,143209,64.5,71262,7413,67583,75626,0,0,2987690,96.7,97.9,97.5,104739,32682,0.312033,72057,459.0,2581.0,0.1778380472685005,42.0,92.0,0.4565217391304347,28.0,175.0,0.16,4.474315128641464e-06,0,0,132.0,0.0009114133812055,118291,137486,141329,0.9728081285511112,283110,0.0022093623820433,4101,0.0002331249337713,0.4856274946134011,1.8892186770000277,,,,,,,,,
2,S_5,A1,4,A7,6,0,S_5,A1,4,A7,6,0,268284.0,166177.0,32511.0,33833.0,9224.0,1379.0,803.0,1864.0,981.0,808.0,122.0,150.0,1658.0,1172.0,63202.0,144846.0,11502789.0,0.5398980185176903,17694,12.2,126518,634,0,0,8782,8912,335138,96.6,97.7,97.4,14603,4024,0.27556,10579,268284.0,158998.0,11113.0,3258.0,26271.0,37567.0,1139.0,2.0,1225.0,112.0,132.0,124.0,857.0,2287.0,501036.0,199234.0,15536696.0,0.7426234885419928,13442,6.7,185232,560,6715,6727,0,0,265909,96.5,97.5,97.2,8993,2294,0.255087,6699,107.0,824.0,0.1298543689320388,15.0,17.0,0.8823529411764706,17.0,54.0,0.3148148148148148,1.2933366915755502e-06,0,0,42.0,0.0024308369024192,16489,19049,19841,0.9600826571241368,268284,0.0020936617473918,1629,7.827526054479581e-05,0.0710031161008483,1.8004725897920606,,,,,,,,,
3,S_5,A1,4,A8,7,0,S_5,A1,4,A8,7,0,182106.0,120397.0,18767.0,19019.0,5677.0,658.0,510.0,1965.0,657.0,895.0,80.0,82.0,1345.0,778.0,59703.0,92097.0,7182470.0,0.5057329247800731,11984,13.0,79532,581,0,0,6065,5919,229590,96.6,97.7,97.5,9891,2683,0.271257,7208,182106.0,115694.0,6602.0,1193.0,16021.0,21074.0,682.0,1.0,719.0,82.0,92.0,56.0,612.0,1737.0,301279.0,126604.0,9626343.0,0.6952214644218203,9523,7.5,116645,436,4868,4655,0,0,190643,95.3,97.1,97.0,6525,1678,0.257165,4847,24.0,903.0,0.0265780730897009,24.0,28.0,0.8571428571428571,0.0,44.0,0.0,1.5987281980234576e-06,0,0,45.0,0.0037328909166321,11164,12781,13373,0.9557316981978614,182106,0.0014211371761661,1509,0.0001235544133636,0.0701843980978111,1.772922735469552,,,,,,,,,
4,S_5,A1,4,B19,18,1,S_5,A1,4,B19,18,1,336258.0,75478.0,6096.0,1387.0,5089.0,1870.0,5107.0,40877.0,5542.0,3577.0,81072.0,11803.0,130.0,2821.0,330260.0,222715.0,23386010.0,0.6623336842543524,150884,67.7,66857,4974,0,0,73240,77644,2870337,96.9,98.1,97.7,125112,41053,0.32813,84059,336258.0,75923.0,7456.0,68.0,5406.0,3929.0,6502.0,11.0,9633.0,657.0,26016.0,52774.0,25.0,3480.0,397380.0,249777.0,28073975.0,0.7428135538782721,156790,62.8,87012,5975,75301,81489,0,0,3299833,96.7,97.8,97.5,114510,38310,0.334556,76200,369.0,5159.0,0.0715254894359372,156.0,196.0,0.7959183673469388,21.0,318.0,0.0660377358490566,8.71098147109025e-06,0,0,244.0,0.001522535395828,140650,162597,166397,0.9771630498146,336258,0.0026241241067469,3964,0.0003628166467414,0.4835483468051317,1.93429693076374,,,,,,,,,
5,S_5,A1,4,B20,19,1,S_5,A1,4,B20,19,1,102174.0,41441.0,4955.0,957.0,1922.0,186.0,558.0,2316.0,1384.0,905.0,20491.0,9472.0,91.0,614.0,54273.0,48774.0,4429669.0,0.4773621469258324,7630,15.6,38030,3114,0,0,3206,4424,131310,95.7,95.5,94.5,6209,1798,0.28958,4411,102174.0,40719.0,1698.0,37.0,4032.0,1240.0,1408.0,0.0,951.0,125.0,11518.0,17872.0,12.0,481.0,159539.0,54936.0,5215772.0,0.5376710317693346,7354,13.4,45065,2517,3212,4142,0,0,138996,95.2,95.4,94.9,5139,1417,0.275735,3722,170.0,3978.0,0.0427350427350427,160.0,220.0,0.7272727272727273,5.0,269.0,0.0185873605947955,6.480232001928797e-06,0,0,205.0,0.0252059510635681,6749,8203,8794,0.9327950875596998,102174,0.0007973557699229,970,0.0010031906355824,0.080284612523734,1.8592475067996372,,,,,,,,,
6,S_5,A1,4,B7,6,1,S_5,A1,4,B7,6,1,246727.0,160121.0,29531.0,29521.0,8346.0,969.0,498.0,1269.0,787.0,482.0,72.0,116.0,1594.0,1038.0,54996.0,128400.0,9938295.0,0.5204132502725685,12910,10.1,114979,511,0,0,6542,6368,244602,96.8,97.6,97.2,10700,2944,0.27514,7756,246727.0,150266.0,10859.0,2357.0,23147.0,33955.0,826.0,3.0,1032.0,90.0,103.0,68.0,964.0,2162.0,497574.0,176522.0,13569678.0,0.7154547333692705,10071,5.7,166054,397,5123,4948,0,0,201430,95.9,97.2,96.8,6738,1667,0.247403,5071,124.0,1097.0,0.113035551504102,23.0,26.0,0.8846153846153846,8.0,49.0,0.1632653061224489,1.956849173210572e-06,0,0,47.0,0.0036641459421532,12184,13921,14525,0.9584165232358004,246727,0.0019254330558242,1375,9.524697337543116e-05,0.0564226858025266,1.794637101972412,,,,,,,,,
7,S_5,A1,4,B8,7,1,S_5,A1,4,B8,7,1,341304.0,217130.0,45337.0,39844.0,12850.0,2224.0,638.0,1749.0,947.0,595.0,172.0,165.0,2569.0,1305.0,113730.0,176846.0,13240444.0,0.5181480439725289,12722,7.2,163542,582,0,0,6292,6430,248158,96.5,97.1,96.8,10612,3086,0.290803,7526,341304.0,206435.0,15171.0,4840.0,36595.0,44583.0,1036.0,3.0,1310.0,116.0,142.0,158.0,1337.0,3134.0,682227.0,244464.0,18260954.0,0.7162646789958512,10084,4.1,233918,462,4926,5158,0,0,206810,95.8,96.4,96.3,7003,1903,0.271741,5100,73.0,2195.0,0.033257403189066,81.0,117.0,0.6923076923076923,3.0,83.0,0.036144578313253,3.5808435750048995e-06,0,0,103.0,0.0081577696816093,11890,13526,13980,0.9675250357653792,341304,0.002663502590657,1504,0.0001508918735203,0.0396303588589644,1.7969974757539524,,,,,,,,,
8,S_5,A1,4,C19,18,2,S_5,A1,4,C19,18,2,90613.0,21757.0,2047.0,397.0,1623.0,525.0,1428.0,4985.0,2048.0,1999.0,15965.0,6206.0,53.0,981.0,43878.0,61744.0,6619350.0,0.6814033306479202,38648,62.6,21197,1899,0,0,18524,20124,705308,96.8,97.9,97.5,32506,9282,0.285547,23224,90613.0,21666.0,1858.0,11.0,1546.0,1175.0,2192.0,5.0,2233.0,305.0,10019.0,9539.0,9.0,873.0,101980.0,67197.0,7637778.0,0.741582333660733,38102,56.7,27075,2020,17549,20553,0,0,774365,96.6,97.7,97.3,27946,8135,0.291097,19811,118.0,2444.0,0.0482815057283142,94.0,105.0,0.8952380952380953,6.0,161.0,0.0372670807453416,4.413163591978632e-06,0,0,128.0,0.0029743232252817,34764,41122,42684,0.9634054915190704,90613,0.0007071348716897,2561,0.0007063004204694,0.4538200920397735,1.7705920344456405,,,,,,,,,
9,S_5,A1,4,C20,19,2,S_5,A1,4,C20,19,2,303692.0,66997.0,7403.0,1054.0,5478.0,2412.0,6006.0,22012.0,7082.0,6128.0,39262.0,18945.0,125.0,3325.0,154059.0,231866.0,25152655.0,0.7634906418344902,174869,75.4,50693,6304,0,0,83781,91088,3262809,96.8,97.9,97.7,145503,45521,0.312853,99982,303692.0,66303.0,6467.0,18.0,5347.0,3817.0,7204.0,2.0,8208.0,564.0,36262.0,22041.0,12.0,3320.0,261891.0,237651.0,27514486.0,0.7825395466459439,159179,67.0,72500,5972,74015,85164,0,0,3311990,96.4,97.8,97.4,115537,35163,0.304344,80374,486.0,4226.0,0.1150023663038334,115.0,170.0,0.6764705882352942,31.0,256.0,0.12109375,6.379167186845317e-06,0,0,205.0,0.0011366408658431,159593,186929,192252,0.9723123816657304,303692,0.0023699822702395,4399,0.0003375130065987,0.6155216469317598,1.8696078333316664,,,,,,,,,
